arm,seed,codec,rate,whole,reasoning,answer
qwen_sup_full,33,sub0_250,0.270482,0.070552,0.073003,0.018645
qwen_sup_full,33,sub0_375,0.395952,0.080607,0.083454,0.020328
qwen_sup_full,33,sub0_500,0.521266,0.084596,0.087621,0.020523
qwen_sup_full,33,sub0_625,0.646631,0.086701,0.089808,0.020931
qwen_sup_full,33,sub0_750,0.77205,0.088234,0.091401,0.021175
qwen_sup_full,33,sub0_875,0.897399,0.089406,0.092615,0.021435
qwen_sup_full,33,uniform2,1.962959,0.092097,0.095405,0.022066
qwen_sup_reasoning,11,raw,,0.101541,0.11093,-0.093062
qwen_sup_reasoning,11,binary,1.020532,0.103988,0.1088,0.004253
qwen_sup_reasoning,11,blend1_25,1.264915,0.104665,0.109752,-0.000773
qwen_sup_reasoning,11,blend1_50,1.500389,0.104685,0.110286,-0.011398
qwen_sup_reasoning,11,blend1_75,1.734428,0.104655,0.110735,-0.021358
qwen_sup_reasoning,11,sub0_0625,0.082327,0.033816,0.035193,0.005272
qwen_sup_reasoning,11,sub0_125,0.145039,0.055204,0.057515,0.007318
qwen_sup_reasoning,11,sub0_1875,0.207771,0.074401,0.077587,0.00837
qwen_sup_reasoning,11,sub0_250,0.270483,0.083329,0.086856,0.010229
qwen_sup_reasoning,11,sub0_375,0.395974,0.093198,0.097142,0.011452
qwen_sup_reasoning,11,sub0_500,0.521343,0.098565,0.102742,0.012002
qwen_sup_reasoning,11,sub0_625,0.646706,0.100928,0.105271,0.010918
qwen_sup_reasoning,11,sub0_750,0.772065,0.102287,0.106781,0.009155
qwen_sup_reasoning,11,sub0_875,0.89742,0.10333,0.107997,0.006612
qwen_sup_reasoning,11,uniform2,1.962888,0.104081,0.110987,-0.039062
qwen_sup_reasoning,22,raw,,0.089128,0.095396,-0.047326
qwen_sup_reasoning,22,binary,1.02053,0.089966,0.093897,0.004389
qwen_sup_reasoning,22,blend1_25,1.264856,0.090592,0.094688,0.001419
qwen_sup_reasoning,22,blend1_50,1.50014,0.091011,0.095342,-0.003266
qwen_sup_reasoning,22,blend1_75,1.734248,0.090983,0.095586,-0.009235
qwen_sup_reasoning,22,sub0_0625,0.082327,0.028869,0.029852,0.007468
qwen_sup_reasoning,22,sub0_125,0.145039,0.046009,0.047647,0.010366
qwen_sup_reasoning,22,sub0_1875,0.207771,0.060653,0.062898,0.011767
qwen_sup_reasoning,22,sub0_250,0.270483,0.070139,0.072826,0.011648
qwen_sup_reasoning,22,sub0_375,0.39597,0.080022,0.083199,0.010857
qwen_sup_reasoning,22,sub0_500,0.52134,0.083699,0.087064,0.01044
qwen_sup_reasoning,22,sub0_625,0.646706,0.086591,0.090142,0.009288
qwen_sup_reasoning,22,sub0_750,0.772065,0.088144,0.091798,0.008601
qwen_sup_reasoning,22,sub0_875,0.89742,0.089409,0.093222,0.006404
qwen_sup_reasoning,22,uniform2,1.96267,0.090848,0.095824,-0.017472
qwen_sup_reasoning,33,raw,,0.086768,0.095054,-0.088482
qwen_sup_reasoning,33,binary,1.020512,0.089132,0.093328,0.000202
qwen_sup_reasoning,33,blend1_25,1.265151,0.089651,0.094275,-0.008207
qwen_sup_reasoning,33,blend1_50,1.500436,0.089604,0.094661,-0.017399
qwen_sup_reasoning,33,blend1_75,1.734703,0.089668,0.095198,-0.027376
qwen_sup_reasoning,33,sub0_0625,0.082327,0.023283,0.024056,0.00694
qwen_sup_reasoning,33,sub0_125,0.145039,0.046288,0.047948,0.011068
qwen_sup_reasoning,33,sub0_1875,0.207771,0.059062,0.061279,0.012107
qwen_sup_reasoning,33,sub0_250,0.270483,0.070208,0.072862,0.014043
qwen_sup_reasoning,33,sub0_375,0.395964,0.080269,0.083367,0.01466
qwen_sup_reasoning,33,sub0_500,0.521292,0.084181,0.087626,0.011286
qwen_sup_reasoning,33,sub0_625,0.646655,0.086237,0.089834,0.010069
qwen_sup_reasoning,33,sub0_750,0.772061,0.087679,0.091423,0.008396
qwen_sup_reasoning,33,sub0_875,0.897407,0.088584,0.092584,0.003952
qwen_sup_reasoning,33,uniform2,1.963067,0.0891,0.09532,-0.042718
