run_id,model_key,dataset_key,seed,kind,probe_updates,probe_adapter,probe_scale,probe_scale_at_edge,cells,budget_retention,budget_bracketed,budget_file_bits,budget_bits_per_value,budget_rank,budget_container_values,budget_ceiling_heldout_bits_saved,shipped_ladder_bits_per_value,shipped_ladder_file_bits,shipped_over_budget
probe1-core__gemma2-9b-base__kind-code__all-linear-r16__s11__176d48a623,gemma2_9b_base,kind_code,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,34161775.874500886,0.6324141123074437,4,54018048,5824.858345039509,nan,nan,nan
probe1-core__gemma2-9b-base__xbrl-tags__all-linear-r16__s11__e658e1a6e4,gemma2_9b_base,xbrl_tags,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,34999887.170356214,0.6479295062708711,4,54018048,2052.628273805092,nan,nan,nan
probe1-core__gemma2-9b-instruct__kind-code__all-linear-r16__s11__53eaa352ab,gemma2_9b_instruct,kind_code,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,22708456.25615168,0.42038646520791867,4,54018048,20321.308225617453,nan,nan,nan
probe1-core__gemma2-9b-instruct__xbrl-tags__all-linear-r16__s11__43854ece3f,gemma2_9b_instruct,xbrl_tags,11,probe,1,all_linear_r16,0.5,False,28,0.9,True,20077719.556677103,0.3716853959009608,2,54018048,3339.705762340582,nan,nan,nan
probe1-core__llama31-8b-base__kind-code__all-linear-r16__s11__1e4e6513ae,llama31_8b_base,kind_code,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,16719356.545355275,0.39862052310360135,4,41943040,4333.800689692202,nan,nan,nan
probe1-core__llama31-8b-base__xbrl-tags__all-linear-r16__s11__788191ef71,llama31_8b_base,xbrl_tags,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,60202905.55176853,1.435349119943822,16,41943040,1891.6638397725987,nan,nan,nan
probe1-core__mistral-7b-base__kind-code__all-linear-r16__s11__f7df0f6185,mistral_7b_base,kind_code,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,15922457.105485778,0.3796209598895497,2,41943040,7902.52170782414,nan,nan,nan
probe1-core__mistral-7b-base__xbrl-tags__all-linear-r16__s11__e895afd76d,mistral_7b_base,xbrl_tags,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,26784052.95540673,0.6385815848209078,4,41943040,3408.5206001178585,nan,nan,nan
probe1-core__qwen25-7b-base__kind-code__all-linear-r16__s11__e8aeeabfff,qwen25_7b_base,kind_code,11,probe,1,all_linear_r16,4.0,False,28,0.9,True,5374404.605781274,0.13312809450672877,1,40370176,2747.3501520146965,nan,nan,nan
probe1-core__qwen25-7b-base__xbrl-tags__all-linear-r16__s11__2549431412,qwen25_7b_base,xbrl_tags,11,probe,1,all_linear_r16,2.0,False,28,0.9,True,25231604.412046105,0.6250060542724932,4,40370176,978.8753312196461,nan,nan,nan
probe1-core__qwen25-math-7b-base__kind-code__all-linear-r16__s11__495f83f6a7,qwen25_math_7b_base,kind_code,11,probe,1,all_linear_r16,8.0,False,28,0.9,True,23085880.78874735,0.5718548462297354,4,40370176,7237.194183655374,nan,nan,nan
probe1-core__qwen25-math-7b-base__xbrl-tags__all-linear-r16__s11__218d509a4a,qwen25_math_7b_base,xbrl_tags,11,probe,1,all_linear_r16,16.0,False,28,0.9,True,5537032.317489434,0.13715650676106625,1,40370176,2626.42177946809,nan,nan,nan
probe1-core__qwen3-8b-base__kind-code__all-linear-r16__s11__d803499ecf,qwen3_8b_base,kind_code,11,probe,1,all_linear_r16,4.0,False,28,0.9,True,8710860.752807956,0.19957535552538522,1,43646976,4573.456307648041,nan,nan,nan
probe1-core__qwen3-8b-base__xbrl-tags__all-linear-r16__s11__381de75216,qwen3_8b_base,xbrl_tags,11,probe,1,all_linear_r16,4.0,False,28,0.9,True,8503882.280025095,0.1948332521369887,1,43646976,957.3682580972663,nan,nan,nan
probe1-math__gemma2-9b-base__panel-math__all-linear-r16__s11__661ab47502,gemma2_9b_base,panel_math,11,probe,1,all_linear_r16,2.0,False,28,0.9,True,27231978.61474604,0.5041274096899252,4,54018048,13101.436415748598,nan,nan,nan
probe1-math__gemma2-9b-instruct__panel-math__all-linear-r16__s11__43ac544c15,gemma2_9b_instruct,panel_math,11,probe,1,all_linear_r16,2.0,False,28,0.9,True,29066157.991932526,0.5380823459583828,4,54018048,15882.040661901665,nan,nan,nan
probe1-math__llama31-8b-base__panel-math__all-linear-r16__s11__95660406fe,llama31_8b_base,panel_math,11,probe,1,all_linear_r16,4.0,False,28,0.9,True,47789515.70142879,1.1393908429486463,16,41943040,13275.654380890046,nan,nan,nan
probe1-math__mistral-7b-base__panel-math__all-linear-r16__s11__ccd5cc1367,mistral_7b_base,panel_math,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,27035716.84472709,0.6445817195112011,4,41943040,10879.879941763604,nan,nan,nan
probe1-math__qwen25-7b-base__panel-math__all-linear-r16__s11__4708b1e371,qwen25_7b_base,panel_math,11,probe,1,all_linear_r16,2.0,False,28,0.9,True,5124598.559077423,0.1269402085112887,1,40370176,3233.3705486867148,nan,nan,nan
probe1-math__qwen25-math-7b-base__panel-math__all-linear-r16__s11__513f05ad71,qwen25_math_7b_base,panel_math,11,probe,1,all_linear_r16,32.0,False,28,0.9,True,14634921.923229575,0.36251816002064435,2,40370176,10691.120753071831,nan,nan,nan
probe1-replicate__gemma2-9b-base__xbrl-tags__all-linear-r16__s22__3b6875ce32,gemma2_9b_base,xbrl_tags,22,probe,1,all_linear_r16,1.0,False,28,0.9,True,30589817.001425143,0.5662888263090355,4,54018048,2073.8457915862064,nan,nan,nan
probe1-replicate__mistral-7b-base__xbrl-tags__all-linear-r16__s22__7b18aadfec,mistral_7b_base,xbrl_tags,22,probe,1,all_linear_r16,1.0,False,28,0.9,True,22997577.71991196,0.5483049802759161,4,41943040,3435.8700786126274,nan,nan,nan
probe1-replicate__qwen25-7b-base__xbrl-tags__all-linear-r16__s22__5a6a7dc32d,qwen25_7b_base,xbrl_tags,22,probe,1,all_linear_r16,2.0,False,28,0.9,True,47440471.029311456,1.175136591658938,16,40370176,1018.8869940105603,nan,nan,nan
probe1-wide__mistral-7b-base__kind-dialogue__all-linear-r16__s11__789bb0d159,mistral_7b_base,kind_dialogue,11,probe,1,all_linear_r16,2.0,False,28,0.9,True,12226227.637811081,0.2914959821179171,2,41943040,3487.412966239768,nan,nan,nan
probe1-wide__mistral-7b-base__kind-summary__all-linear-r16__s11__d7c17d6817,mistral_7b_base,kind_summary,11,probe,1,all_linear_r16,4.0,False,28,0.9,True,4838671.494577959,0.11536291824765108,1,41943040,2496.3575102906325,nan,nan,nan
probe1-wide__mistral-7b-base__text-to-sql__all-linear-r16__s11__857299b6f6,mistral_7b_base,text_to_sql,11,probe,1,all_linear_r16,1.0,False,28,0.9,True,14534092.085770598,0.34651975836206905,2,41943040,4821.47531114407,nan,nan,nan
probe1-wide__qwen25-7b-base__kind-dialogue__all-linear-r16__s11__cd141c2aa5,qwen25_7b_base,kind_dialogue,11,probe,1,all_linear_r16,4.0,False,28,0.9,True,13749788.763852427,0.3405927376648649,2,40370176,1404.7959105010887,nan,nan,nan
probe1-wide__qwen25-7b-base__kind-summary__all-linear-r16__s11__9e833660ab,qwen25_7b_base,kind_summary,11,probe,1,all_linear_r16,4.0,False,28,0.9,True,3391618.240271769,0.0840129664104454,1,40370176,2700.5549714419103,nan,nan,nan
probe1-wide__qwen25-7b-base__text-to-sql__all-linear-r16__s11__a84bd20146,qwen25_7b_base,text_to_sql,11,probe,1,all_linear_r16,4.0,False,28,0.9,True,10031652.470595855,0.24849167044988496,2,40370176,1575.4365772673123,nan,nan,nan
probe8-ladder__gemma2-9b-base__xbrl-tags__all-linear-r16__s11__a8de57309d,gemma2_9b_base,xbrl_tags,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,8966413.983623372,0.1659892261124166,1,54018048,3483.691951845842,nan,nan,nan
probe8-ladder__mistral-7b-base__xbrl-tags__all-linear-r16__s11__5651661cde,mistral_7b_base,xbrl_tags,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,12897667.83701773,0.307504363942569,2,41943040,5862.841219972149,nan,nan,nan
probe8-ladder__qwen25-7b-base__xbrl-tags__all-linear-r16__s11__dfa82928f5,qwen25_7b_base,xbrl_tags,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,5627536.835995019,0.1393983726004816,1,40370176,1771.743515318797,nan,nan,nan
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,trained,,all_linear_r16,,,28,0.9,True,3855883.2066932786,0.09551316315027407,1,40370176,7875.853870785242,0.6837292118958291,27602268.620575916,7.158481505005702
qwen25-kind-dialogue__qwen25-7b-base__kind-dialogue__all-linear-r16__s11__ad6ac4bccb,qwen25_7b_base,kind_dialogue,11,trained,,all_linear_r16,,,28,0.9,True,5163340.876328271,0.1278998852105146,1,40370176,4129.926242314177,1.2211921083945096,49299740.345697425,9.548031308898437
qwen25-kind-summary__qwen25-7b-base__kind-summary__all-linear-r16__s11__a18f9bac28,qwen25_7b_base,kind_summary,11,trained,,all_linear_r16,,,28,0.9,True,3100728.1596711953,0.07680739761132563,1,40370176,3025.028564999482,0.37795150936890587,15257968.95268838,4.920769627965823
qwen25-natural__qwen25-7b-base__panel-math__all-linear-r16__s11__18b592cfbf,qwen25_7b_base,panel_math,11,trained,,all_linear_r16,,,28,0.9,True,2993094.580963298,0.07414123190751752,1,40370176,4501.527601321033,0.38237216852590894,15436431.740892604,5.1573484643858265
qwen25-text-to-sql__qwen25-7b-base__text-to-sql__all-linear-r16__s11__0724a656fa,qwen25_7b_base,text_to_sql,11,trained,,all_linear_r16,,,28,0.9,True,4228377.473735344,0.10474012978628935,1,40370176,2193.5261771379323,0.6170887610167751,24911981.88986915,5.891617303471711
qwen25-xbrl-tags__qwen25-7b-base__xbrl-tags__all-linear-r16__s11__5efee976cd,qwen25_7b_base,xbrl_tags,11,trained,,all_linear_r16,,,28,0.9,True,3157197.87198557,0.07820619538506768,1,40370176,2063.5772700359225,0.44841062576226665,18102415.88229284,5.733696973166963
qwen25-xbrl-tags__qwen25-7b-base__xbrl-tags__all-linear-r16__s22__749657b580,qwen25_7b_base,xbrl_tags,22,trained,,all_linear_r16,,,28,0.9,True,3935115.654203149,0.09747581120783692,1,40370176,1959.4989689642505,0.47678839425851377,19248031.390973594,4.891350873109539
qwen3-natural__qwen3-8b-base__kind-code__all-linear-r16__s11__931f68c3b6,qwen3_8b_base,kind_code,11,trained,,all_linear_r16,,,28,0.9,True,5430625.207546787,0.12442156834752509,1,43646976,10488.068893338423,0.832787209821515,36348643.36018663,6.693270474580706
qwen3-xbrl-tags__qwen3-8b-base__xbrl-tags__all-linear-r16__s11__d9a31e2f0a,qwen3_8b_base,xbrl_tags,11,trained,,all_linear_r16,,,28,0.9,True,3572936.599042978,0.08185988873646087,1,43646976,2011.8308129453112,0.5093543881804611,22231778.75640727,6.222270712097751
repair-narrow-k8__gemma2-9b-base__kind-code__all-linear-r16__s11__adbfe3af10,gemma2_9b_base,kind_code,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,20394346.2775613,0.37754689465197444,2,54018048,9697.303540596098,nan,nan,nan
repair-narrow-k8__gemma2-9b-instruct__kind-code__all-linear-r16__s11__033d7fb5db,gemma2_9b_instruct,kind_code,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,19725080.09374531,0.3651572173386441,2,54018048,31433.3987906565,nan,nan,nan
repair-narrow-k8__llama31-8b-base__kind-code__all-linear-r16__s11__743e1cb27f,llama31_8b_base,kind_code,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,9554644.61632908,0.2278004793245573,2,41943040,16511.965523638733,nan,nan,nan
repair-narrow-k8__mistral-7b-base__kind-code__all-linear-r16__s11__0cb40d2457,mistral_7b_base,kind_code,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,26267050.987965524,0.6262552973739034,4,41943040,14204.764314753207,nan,nan,nan
repair-narrow-k8__qwen25-7b-base__kind-code__all-linear-r16__s11__a17c931682,qwen25_7b_base,kind_code,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,4484199.1875832975,0.11107702843760943,1,40370176,6815.090045194869,nan,nan,nan
repair-narrow-k8__qwen25-math-7b-base__kind-code__all-linear-r16__s11__4424e794de,qwen25_math_7b_base,kind_code,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,10902862.29477362,0.2700722011906418,2,40370176,11834.62915597565,nan,nan,nan
repair-narrow-k8__qwen3-8b-base__kind-code__all-linear-r16__s11__31a3a7e4a8,qwen3_8b_base,kind_code,11,probe,8,all_linear_r16,1.0,False,28,0.9,True,8803515.508603841,0.2016981774087589,1,43646976,7323.863450421908,nan,nan,nan
repair-wide-k1__gemma2-9b-base__kind-code__probe-wide-r64__s11__8e499b76b9,gemma2_9b_base,kind_code,11,probe,1,probe_wide_r64,0.25,False,28,0.9,True,129813278.33013098,2.403146413771393,16,54018048,5691.302939515794,nan,nan,nan
repair-wide-k1__gemma2-9b-instruct__kind-code__probe-wide-r64__s11__050f5d5553,gemma2_9b_instruct,kind_code,11,probe,1,probe_wide_r64,0.25,False,28,0.9,False,nan,nan,,54018048,20112.805811182014,nan,nan,nan
repair-wide-k1__llama31-8b-base__kind-code__probe-wide-r64__s11__324aa993b9,llama31_8b_base,kind_code,11,probe,1,probe_wide_r64,0.25,False,28,0.9,True,14309804.288254546,0.34117232056270946,2,41943040,4229.195034271252,nan,nan,nan
repair-wide-k1__mistral-7b-base__kind-code__probe-wide-r64__s11__e0bdf0ac7f,mistral_7b_base,kind_code,11,probe,1,probe_wide_r64,0.25,False,28,0.9,True,16173130.900259545,0.3855974888863455,4,41943040,7651.884388018167,nan,nan,nan
repair-wide-k1__qwen25-7b-base__kind-code__probe-wide-r64__s11__840fbcb40e,qwen25_7b_base,kind_code,11,probe,1,probe_wide_r64,1.0,False,28,0.9,True,6175520.84068248,0.15297235366728348,1,40370176,2771.6667392061936,nan,nan,nan
repair-wide-k1__qwen25-math-7b-base__kind-code__probe-wide-r64__s11__8f2db52d3c,qwen25_math_7b_base,kind_code,11,probe,1,probe_wide_r64,2.0,False,28,0.9,True,49329161.87698877,1.2219209021280653,16,40370176,7119.996145913348,nan,nan,nan
repair-wide-k1__qwen3-8b-base__kind-code__probe-wide-r64__s11__100afd7eb2,qwen3_8b_base,kind_code,11,probe,1,probe_wide_r64,1.0,False,28,0.9,True,17519595.250279117,0.40139310568226116,4,43646976,4601.884147589677,nan,nan,nan
repair-wide-k8__gemma2-9b-base__kind-code__probe-wide-r64__s11__0ea437f6f9,gemma2_9b_base,kind_code,11,probe,8,probe_wide_r64,1.0,False,28,0.9,False,nan,nan,,54018048,9053.939069927874,nan,nan,nan
repair-wide-k8__gemma2-9b-instruct__kind-code__probe-wide-r64__s11__b6fdd53bf4,gemma2_9b_instruct,kind_code,11,probe,8,probe_wide_r64,1.0,False,28,0.9,True,140495144.67736876,2.6008926623444215,16,54018048,33771.90414875245,nan,nan,nan
repair-wide-k8__llama31-8b-base__kind-code__probe-wide-r64__s11__7add312fba,llama31_8b_base,kind_code,11,probe,8,probe_wide_r64,1.0,False,28,0.9,True,24324141.52829403,0.5799327261041172,4,41943040,17401.06769942658,nan,nan,nan
repair-wide-k8__mistral-7b-base__kind-code__probe-wide-r64__s11__170ec76563,mistral_7b_base,kind_code,11,probe,8,probe_wide_r64,1.0,False,28,0.9,True,32802382.80285139,0.7820697499001358,16,41943040,12845.580285153934,nan,nan,nan
repair-wide-k8__qwen25-7b-base__kind-code__probe-wide-r64__s11__1254ff5af1,qwen25_7b_base,kind_code,11,probe,8,probe_wide_r64,1.0,False,28,0.9,True,10956665.43246511,0.27140494588047154,2,40370176,7163.560260477185,nan,nan,nan
repair-wide-k8__qwen25-math-7b-base__kind-code__probe-wide-r64__s11__8837cdd50b,qwen25_math_7b_base,kind_code,11,probe,8,probe_wide_r64,1.0,False,28,0.9,True,5521596.877739438,0.1367741591649102,1,40370176,14695.939960736869,nan,nan,nan
repair-wide-k8__qwen3-8b-base__kind-code__probe-wide-r64__s11__8f3085b8be,qwen3_8b_base,kind_code,11,probe,8,probe_wide_r64,1.0,False,28,0.9,True,16259038.189748973,0.37251236350827543,2,43646976,8559.097400009632,nan,nan,nan
transposed-code__gemma2-9b-base__kind-code__all-linear-r16__s11__41ecd30ad1,gemma2_9b_base,kind_code,11,trained,,all_linear_r16,,,28,0.9,True,18246673.617340032,0.3377884668720357,2,54018048,12588.188403403634,0.8963368260863122,48418365.69569807,2.653544789099834
transposed-code__gemma2-9b-instruct__kind-code__all-linear-r16__s11__a5ce10ff69,gemma2_9b_instruct,kind_code,11,trained,,all_linear_r16,,,28,0.9,True,14022543.68735205,0.25958997421291585,2,54018048,39918.69399906043,0.9984387548111524,53933712.58244906,3.8462146230356042
transposed-code__qwen25-math-7b-base__kind-code__all-linear-r16__s11__6642a6f411,qwen25_math_7b_base,kind_code,11,trained,,all_linear_r16,,,28,0.9,True,5287473.275962396,0.13097473927194164,1,40370176,18249.128929042316,1.1796517021672608,47622746.8351919,9.00671158976664
transposed-math__gemma2-9b-base__panel-math__all-linear-r16__s11__9e5dc38096,gemma2_9b_base,panel_math,11,trained,,all_linear_r16,,,28,0.9,True,13712717.34686244,0.2538543663566377,2,54018048,22426.98480804369,0.8376716756509699,45249388.783554524,3.2998119657084506
transposed-math__gemma2-9b-instruct__panel-math__all-linear-r16__s11__39284e3cfa,gemma2_9b_instruct,panel_math,11,trained,,all_linear_r16,,,28,0.9,True,12763524.01171685,0.23628258488194262,2,54018048,32000.41832627275,0.8760485091281836,47322430.416414656,3.707630461068033
transposed-math__qwen25-math-7b-base__panel-math__all-linear-r16__s11__9b75f7e9f8,qwen25_math_7b_base,panel_math,11,trained,,all_linear_r16,,,28,0.9,True,4931134.051534563,0.12214794534298198,1,40370176,17787.342376300694,1.0920825507169158,44087564.77897082,8.94065428321723
transposed-xbrl__gemma2-9b-base__xbrl-tags__all-linear-r16__s11__948b9309bf,gemma2_9b_base,xbrl_tags,11,trained,,all_linear_r16,,,28,0.9,True,4323867.480857035,0.08004486724246376,1,54018048,3708.1673201081617,0.33387478690609096,18035264.265082996,4.171095516902432
transposed-xbrl__gemma2-9b-base__xbrl-tags__all-linear-r16__s22__fc3e65d7d8,gemma2_9b_base,xbrl_tags,22,trained,,all_linear_r16,,,28,0.9,True,4350380.867914034,0.08053569184717733,1,54018048,3802.9432590221095,0.3198422211371864,17277252.45381515,3.971434451002316
transposed-xbrl__gemma2-9b-instruct__xbrl-tags__all-linear-r16__s11__894096b802,gemma2_9b_instruct,xbrl_tags,11,trained,,all_linear_r16,,,28,0.9,True,4245280.702504598,0.0785900427669026,1,54018048,5848.927140786599,0.2497834613013438,13492815.002182132,3.178309268035385
transposed-xbrl__qwen25-math-7b-base__xbrl-tags__all-linear-r16__s11__a71aedbcd3,qwen25_math_7b_base,xbrl_tags,11,trained,,all_linear_r16,,,28,0.9,True,3144824.592189947,0.0778996998227094,1,40370176,4490.074850804865,0.6226201389915158,25135284.59223196,7.992587139726165
